date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:06:20	334/334	---M--	200	added ('OK')	text/plain	etag:%225fd57a4d94145cadea22a631578d11c1%22	https://doc.rust-lang.org/robots.txt		(from )
01:06:20	44260/44260	---MCZ	200	added ('OK')	text/html	etag:W/%22b99c6c1f33abcf29e8edac3f6f347f3e%22	https://doc.rust-lang.org/rust-by-example/	./rust-by-example/doc.rust-lang.org/rust-by-example/index.html	(from )
01:06:21	1835/1835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ab545f5294e510e3574d29bf08fc719%22	https://doc.rust-lang.org/rust-by-example/favicon.svg	./rust-by-example/doc.rust-lang.org/rust-by-example/favicon.svg	(from https://doc.rust-lang.org/rust-by-example/)
01:06:21	5679/5679	---M--	200	added ('OK')	image/png	etag:%2299aa04c6ee89063ee9fe65f6544e3d0b%22	https://doc.rust-lang.org/rust-by-example/favicon.png	./rust-by-example/doc.rust-lang.org/rust-by-example/favicon.png	(from https://doc.rust-lang.org/rust-by-example/)
01:06:23	6563/6563	---MCZ	200	added ('OK')	text/css	etag:W/%22c334a509c331903c690e4de31c48734e%22	https://doc.rust-lang.org/rust-by-example/css/variables.css	./rust-by-example/doc.rust-lang.org/rust-by-example/css/variables.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:24	5221/5221	---MCZ	200	added ('OK')	text/css	etag:W/%228de8d00503b9aefe95e7664220c0afb3%22	https://doc.rust-lang.org/rust-by-example/css/general.css	./rust-by-example/doc.rust-lang.org/rust-by-example/css/general.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:25	13183/13183	---MCZ	200	added ('OK')	text/css	etag:W/%220b4de1e8bc8c65ef7a998af9e09b6de3%22	https://doc.rust-lang.org/rust-by-example/css/chrome.css	./rust-by-example/doc.rust-lang.org/rust-by-example/css/chrome.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:25	661/661	---M--	200	added ('OK')	text/css	etag:%222a2f46b85b31b59241844528d6d6f05b%22	https://doc.rust-lang.org/rust-by-example/css/print.css	./rust-by-example/doc.rust-lang.org/rust-by-example/css/print.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:27	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://doc.rust-lang.org/rust-by-example/FontAwesome/css/font-awesome.css	./rust-by-example/doc.rust-lang.org/rust-by-example/FontAwesome/css/font-awesome.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:28	3620/3620	---MCZ	200	added ('OK')	text/css	etag:W/%228e4c40b0f04d1d238210b39520bf3050%22	https://doc.rust-lang.org/rust-by-example/fonts/fonts.css	./rust-by-example/doc.rust-lang.org/rust-by-example/fonts/fonts.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:29	1197/1197	---MCZ	200	added ('OK')	text/css	etag:W/%2294dc6271709a034f14ed3c56745655ba%22	https://doc.rust-lang.org/rust-by-example/highlight.css	./rust-by-example/doc.rust-lang.org/rust-by-example/highlight.css	(from https://doc.rust-lang.org/rust-by-example/)
01:06:30	1667/1667	---MCZ	200	added ('OK')	text/css	etag:W/%224e5071827927f86679ceab4cf35626b3%22	https://doc.rust-lang.org/rust-by-example/tomorrow-night.css	./rust-by-example/doc.rust-lang.org/rust-by-example/tomorrow-night.css	(from https://doc.rust-lang.org/rust-by-example/)
